window_size,window_step,min_temp,max_temp,gaussian_blur_kernel_size,mask_type,bandpass_low_cut,bandpass_high_cut,mask_low_accuracy,mask_borders,dilate_kernel_size,id,rmse,mae,r2,true_respiratory_frequency,author,position,date
5,5,20,34,3,otsu,0.1,0.7,True,5,3,5503032962054919414,0.10725840819709093,0.10725840819709093,-inf,0.5,lucas,left,02
5,5,20,34,3,otsu,0.1,0.7,True,5,5,3134232120870517710,0.11340573031260821,0.11340573031260821,-inf,0.5,lucas,left,02
5,5,20,34,5,otsu,0.1,0.7,True,5,3,99220120790870576575,0.10721884027875912,0.10721884027875912,-inf,0.5,lucas,left,02
5,5,20,34,5,otsu,0.1,0.7,True,5,5,99153774999715318755,0.11340254897231229,0.11340254897231229,-inf,0.5,lucas,left,02
5,5,20,36,1,otsu,0.1,0.7,True,5,3,99677871198709306100,0.10884398820057645,0.10884398820057645,-inf,0.5,lucas,left,02
5,5,20,36,1,otsu,0.1,0.7,True,5,5,3231466587723628828,0.11493422485053152,0.11493422485053152,-inf,0.5,lucas,left,02
5,5,20,36,3,otsu,0.1,0.7,True,5,3,8328598894012007665,0.10721884027875912,0.10721884027875912,-inf,0.5,lucas,left,02
5,5,20,36,3,otsu,0.1,0.7,True,5,5,91186475667656836128,0.11856728411681129,0.11856728411681129,-inf,0.5,lucas,left,02
5,5,20,36,5,otsu,0.1,0.7,True,5,3,3506986287616845450,0.11031657005197902,0.11031657005197902,-inf,0.5,lucas,left,02
5,5,20,36,5,otsu,0.1,0.7,True,5,5,99700871551574238091,0.12168646251352012,0.12168646251352012,-inf,0.5,lucas,left,02
5,5,22,30,1,otsu,0.1,0.7,True,5,3,95538012063152581063,0.19484328361745432,0.19484328361745432,-inf,0.5,lucas,left,02
5,5,22,30,1,otsu,0.1,0.7,True,5,5,94290058877571200070,0.17919416658786422,0.17919416658786422,-inf,0.5,lucas,left,02
5,5,22,30,3,otsu,0.1,0.7,True,5,3,4266760102379011230,0.204115387573873,0.204115387573873,-inf,0.5,lucas,left,02
5,5,22,30,3,otsu,0.1,0.7,True,5,5,96192681723378162128,0.18616312591935077,0.18616312591935077,-inf,0.5,lucas,left,02
5,5,22,30,5,otsu,0.1,0.7,True,5,3,97828538376636856792,0.2009856143841214,0.2009856143841214,-inf,0.5,lucas,left,02
5,5,22,30,5,otsu,0.1,0.7,True,5,5,92199906738907496485,0.19298716386225032,0.19298716386225032,-inf,0.5,lucas,left,02
5,5,22,32,1,otsu,0.1,0.7,True,5,3,5556861478292470078,0.11034629617738788,0.11034629617738788,-inf,0.5,lucas,left,02
5,5,22,32,1,otsu,0.1,0.7,True,5,5,7787811995113754320,0.10816951000379364,0.10816951000379364,-inf,0.5,lucas,left,02
